Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
245,12.25,-0.017250627,0.02348482,-0.98838806,1.345581,1379,592,138.24837
246,12.3,-0.034806717,0.01038766,-1.9942778,0.59516907,1480,663,138.05728
247,12.35,-0.010708305,-0.0047934237,-0.61354065,-0.27464294,1341,746,138.24837
248,12.4,-0.022010228,0.012481971,-1.2610931,0.7151642,1407,652,138.24837
249,12.45,-0.011885156,-0.004944958,-0.68096924,-0.2833252,1348,746,138.24837
250,12.5,-0.014260696,0.001057275,-0.81707764,0.060577393,1362,714,138.24837
251,12.55,-0.018697254,0.012530972,-1.0712737,0.7179718,1387,651,138.24837
252,12.6,-0.044589836,0.045859903,-2.5548093,2.6275787,1537,470,138.05728
253,12.65,-0.041802045,0.042130943,-2.3950806,2.4139252,1521,491,138.05728
254,12.7,-0.04751213,0.047106795,-2.7222443,2.6990204,1554,463,138.05728
255,12.75,-0.061194118,0.041510426,-3.5061646,2.378372,1633,494,138.05728
256,12.8,-0.05511918,0.046560578,-3.158096,2.6677244,1598,466,138.05728
257,12.85,-0.06015788,0.038449124,-3.4467924,2.2029724,1627,511,138.05728
258,12.9,-0.08263097,0.029654566,-4.7344055,1.6990814,1757,558,138.05728
259,12.95,-0.075840704,0.029325666,-4.345352,1.6802368,1718,560,138.05728
260,13.0,-0.067194216,0.018450381,-3.8499448,1.0571289,1666,620,137.48875
261,13.05,-0.08733252,0.003786749,-5.003784,0.21696472,1782,699,137.48875
262,13.1,-0.09018183,0.0009736517,-5.167038,0.05578613,1831,714,145.92883
263,13.15,-0.088120274,0.010229735,-5.0489197,0.5861206,1818,661,145.92883
264,13.2,-0.066284485,0.04365427,-3.797821,2.5012052,1643,494,131.17209
265,13.25,-0.07509076,0.04014183,-4.3023834,2.2999573,1714,501,138.24837
266,13.3,-0.08221205,0.04405002,-4.7104034,2.52388,1755,480,138.24837
267,13.35,-0.07802983,0.04100629,-4.4707794,2.3494873,1731,496,138.24837
268,13.4,-0.08537828,0.04029576,-4.8918147,2.3087769,1773,501,138.05728
269,13.45,-0.07620636,0.04642316,-4.3663025,2.659851,1720,467,138.05728
